iter	Logloss
0	0.4568920595
1	0.3897211918
2	0.3573871422
3	0.3371085934
4	0.3274470285
5	0.3223177093
6	0.3169688954
7	0.3147461479
8	0.3103574809
9	0.3089488788
10	0.3083609172
11	0.3077230216
12	0.3073339133
13	0.3068705867
14	0.3058004506
15	0.3056495788
16	0.305412345
17	0.3053104666
18	0.3050921703
19	0.3049516237
20	0.3048008115
21	0.3047097454
22	0.3045274761
23	0.3043586614
24	0.3041848518
25	0.3040741794
26	0.3040214967
27	0.3039851068
28	0.3038547895
29	0.3038098596
30	0.3037627567
31	0.3036586073
32	0.3036157898
33	0.3035776447
34	0.3035119602
35	0.303484432
36	0.3034182472
37	0.3033987631
38	0.3033457902
39	0.303312003
40	0.3032471067
41	0.3032222038
42	0.3032176985
43	0.3031916694
44	0.3030268241
45	0.3029861677
46	0.3029575237
47	0.3029168318
48	0.3026175095
49	0.3026067248
50	0.3025737544
51	0.3025530959
52	0.3025396088
53	0.3024791037
54	0.3024736123
55	0.302450398
56	0.3024355387
57	0.3024041021
58	0.3023730799
59	0.3023610843
60	0.3023500569
61	0.3023239789
62	0.302311865
63	0.3023222189
64	0.3023028483
65	0.3022404676
66	0.3022307468
67	0.302209801
68	0.302198642
69	0.3021839135
70	0.302163296
71	0.3021446655
72	0.3021540104
73	0.3021196082
74	0.301928303
75	0.3019140109
76	0.30183897
77	0.3018329186
78	0.3018173136
79	0.3018006398
80	0.30178386
81	0.3017740121
82	0.3017549806
83	0.3017463098
84	0.3017250179
85	0.3017114895
86	0.3016875838
87	0.3016690123
88	0.3016593632
89	0.3016435793
90	0.3016182725
91	0.3016268004
92	0.3015987891
93	0.3015845972
94	0.3015769352
95	0.301561342
96	0.3015447879
97	0.301525137
98	0.3015141088
99	0.3015027575
100	0.3014778491
101	0.3014588009
102	0.3014427782
103	0.3014267795
104	0.3014134907
105	0.3014039605
106	0.301386221
107	0.3013730149
108	0.3013642785
109	0.3013514901
110	0.3013374901
111	0.3013302636
112	0.3013121285
113	0.3013027827
114	0.3012918203
115	0.3012759529
116	0.3012631347
117	0.3012499291
118	0.3012435739
119	0.3012344974
120	0.3012184094
121	0.3011701206
122	0.3011505658
123	0.301100637
124	0.3011319842
125	0.3011225739
126	0.3011080071
127	0.3010468581
128	0.3010736457
129	0.3010596639
130	0.3010478901
131	0.3010294804
132	0.3010189183
133	0.3010017094
134	0.3009924419
135	0.3009824705
136	0.3009710251
137	0.300959156
138	0.3009494001
139	0.3009401141
140	0.3009239901
141	0.3008958058
142	0.300881645
143	0.3008712253
144	0.3008593853
145	0.3008496047
146	0.3008353236
147	0.3008225536
148	0.3008129938
149	0.3007908786
150	0.3007864982
151	0.3007733039
152	0.3007557716
153	0.3007459197
154	0.3007342715
155	0.3007151637
156	0.3007009731
157	0.3006972847
158	0.3006851298
159	0.3006601363
160	0.3006454385
161	0.300634774
162	0.3006230707
163	0.300605968
164	0.3005785536
165	0.3005696563
166	0.3005598935
167	0.3005448845
168	0.3005386843
169	0.3005257115
170	0.3005156924
171	0.300502708
172	0.3004908626
173	0.3004740111
174	0.3004625953
175	0.3004512571
176	0.300433051
177	0.3004257708
178	0.300414391
179	0.3004017818
180	0.3003943998
181	0.3003840884
182	0.3003719804
183	0.300364485
184	0.3003544406
185	0.3003433815
186	0.3003337621
187	0.3003203418
188	0.3003065318
189	0.3002978551
190	0.3002898892
191	0.3002779486
192	0.3002690512
193	0.300259175
194	0.3002404671
195	0.3002278158
196	0.3002193773
197	0.3001313212
198	0.3001308795
199	0.3001194101
200	0.300111169
201	0.3000995682
202	0.3000836769
203	0.3000728221
204	0.3000663355
205	0.3000511722
206	0.3000386763
207	0.3000305362
208	0.3000157662
209	0.3000055559
210	0.3000009673
211	0.2999893007
212	0.2999697274
213	0.2999614566
214	0.2999513895
215	0.2999420505
216	0.299932622
217	0.2999209908
218	0.2999129753
219	0.2998982178
220	0.2998862062
221	0.2998735911
222	0.2998634946
223	0.2998574019
224	0.2998431696
225	0.2998275408
226	0.2998226058
227	0.2998097654
228	0.2997954853
229	0.2997789391
230	0.2997640621
231	0.2997543531
232	0.2997411115
233	0.2997329777
234	0.2997230063
235	0.2997113278
236	0.2997053485
237	0.2996944941
238	0.2996859309
239	0.2996746105
240	0.2996623478
241	0.2996579619
242	0.2996478351
243	0.2996381555
244	0.2996298189
245	0.2996185882
246	0.2996094637
247	0.2996039916
248	0.2995932611
249	0.2995820483
250	0.2995723282
251	0.2995636158
252	0.2995505228
253	0.2995429442
254	0.299536422
255	0.2995288733
256	0.2995197454
257	0.2995073563
258	0.29950149
259	0.2994941744
260	0.2994783596
261	0.2994738249
262	0.2994618962
263	0.2994535597
264	0.2994451157
265	0.2994341183
266	0.2994249403
267	0.2994195755
268	0.2994085833
269	0.2993953415
270	0.2993847432
271	0.2993753087
272	0.2993647224
273	0.2993464382
274	0.2993329514
275	0.2993299438
276	0.2993187635
277	0.2993114294
278	0.2992998228
279	0.299290788
280	0.2992825216
281	0.2992731109
282	0.2992639568
283	0.2992531318
284	0.2992424265
285	0.2992280092
286	0.2992199174
287	0.2992120759
288	0.2992029576
289	0.2991968528
290	0.2991894939
291	0.2991799156
292	0.2991688758
293	0.2991650566
294	0.299155085
295	0.2991532412
296	0.2991321641
297	0.2991237917
298	0.2991144708
299	0.2991101564
300	0.2991028471
301	0.2990954056
302	0.2990805098
303	0.2990706934
304	0.2990587881
305	0.2990541394
306	0.2990501593
307	0.2990455074
308	0.2990415869
309	0.2990283989
310	0.2990211247
311	0.2990167148
312	0.2990038966
313	0.29899822
314	0.2989820004
315	0.2989723988
316	0.2989653989
317	0.2989659897
318	0.2989587096
319	0.2989526406
320	0.2989351559
321	0.2989258706
322	0.2989171104
323	0.2989042028
324	0.2988928475
325	0.2988866413
326	0.2988880854
327	0.2988748736
328	0.2988643527
329	0.2988629913
330	0.2988465685
331	0.2988406788
332	0.2988346635
333	0.2988254735
334	0.2988180023
335	0.2988095146
336	0.2988027955
337	0.2987918823
338	0.2987886898
339	0.298780771
340	0.298770316
341	0.2987633579
342	0.2987595627
343	0.298754132
344	0.2987476811
345	0.2987376372
346	0.2987271404
347	0.2987003643
348	0.2986939673
349	0.2986887815
350	0.2986791141
351	0.2986719294
352	0.2986627454
353	0.2986564079
354	0.2986456486
355	0.2986384458
356	0.2986343461
357	0.2986286177
358	0.2986215403
359	0.2986146896
360	0.2986040794
361	0.2985968886
362	0.2985839572
363	0.2985783713
364	0.2985692593
365	0.2985653446
366	0.2985551346
367	0.2985536488
368	0.2985397505
